"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241411001","227000106","580.000","38"
"241411001","227000105","500.000","39"
"241411001","227000104","1200.000","40"
"241411001","227000103","210.000","41"
"241411001","227000102","480.000","42"
"241411001","227000101","210.000","43"
"241411001","227000100","370.000","44"
"241411001","227000099","940.000","45"
"241411001","227000098","410.000","46"
"241411001","227000097","210.000","47"
"241411001","227000096","260.000","48"
"241411001","227000095","130.000","49"
"241411001","227000094","0.000","1"
"241411001","227000093","469.000","2"
"241411001","227000091","600.000","5"
"241411001","227000090","500.000","6"
"241411001","227000089","360.000","7"
"241411001","227000088","660.000","8"
"241411001","227000085","650.000","60"
"241411001","227000084","780.000","61"
"241411001","227000062","390.000","67"
"241411001","227000056","380.000","3"
"241411001","227000055","640.000","4"
"241411001","227000050","550.000","64"
"241411001","227000049","610.000","65"
"241411001","227000038","1050.000","9"
"241411001","227000037","460.000","10"
"241411001","227000036","320.000","11"
"241411001","227000035","490.000","12"
"241411001","227000034","412.000","13"
"241411001","227000033","460.000","14"
"241411001","124000354","540.000","32"
"241411001","124000138","1079.000","31"
"241411001","124000087","740.000","30"
"241411001","123000145","1281.000","33"
"241409010","227000635","128.000","3"
"241409010","227000629","225.000","15"
"241409010","227000628","194.000","23"
"241409010","227000627","241.000","32"
"241409010","227000626","298.000","25"
"241409010","227000625","248.000","13"
"241409010","227000614","199.000","28"
"241409010","227000614","199.000","10"
"241409010","227000613","207.000","29"
"241409010","227000613","207.000","11"
"241409010","227000612","154.000","27"
"241409010","227000612","154.000","9"
"241409010","227000611","153.000","30"
"241409010","227000611","153.000","12"
"241409010","227000610","256.000","26"
"241409010","227000610","380.000","8"
"241409010","227000609","113.000","7"
"241409010","227000608","375.000","31"
"241409010","227000607","135.000","6"
"241409010","227000606","169.000","5"
"241409010","227000605","180.000","33"
"241409010","227000604","347.000","4"
"241409010","227000603","161.000","2"
"241409010","227000602","475.000","34"
"241409010","227000363","127.000","24"
"241409010","227000362","236.000","14"
"241409010","227000361","156.000","22"
"241409010","227000359","207.000","35"
"241409010","227000359","0.000","1"
"241409010","227000111","331.000","16"
"241409010","227000110","790.000","21"
"241409010","124000354","540.000","19"
"241409010","124000138","927.000","18"
"241409010","124000087","740.000","17"
"241409010","123000145","1281.000","20"
"241409009","227000686","540.000","8"
"241409009","227000685","310.000","22"
"241409009","227000673","230.000","21"
"241409009","227000672","390.000","9"
"241409009","227000662","300.000","12"
"241409009","227000650","160.000","27"
"241409009","227000358","155.000","29"
"241409009","227000358","0.000","1"
"241409009","227000353","280.000","6"
"241409009","227000352","320.000","5"
"241409009","227000351","190.000","4"
"241409009","227000350","190.000","3"
"241409009","227000349","158.000","2"
"241409009","227000348","200.000","28"
"241409009","227000347","300.000","26"
"241409009","227000346","270.000","25"
"241409009","227000345","530.000","24"
"241409009","227000302","350.000","11"
"241409009","227000301","460.000","19"
"241409009","227000300","160.000","18"
"241409009","227000299","170.000","13"
"241409009","227000298","420.000","20"
"241409009","227000297","290.000","10"
"241409009","227000295","1370.000","17"
"241409009","123000665","560.000","23"
"241409009","123000664","450.000","7"
"241409009","123000659","1370.000","15"
"241409009","123000631","1415.000","16"
"241409009","123000630","1430.000","14"
"241409006","227000646","1790.000","16"
"241409006","227000645","369.000","11"
"241409006","227000601","270.000","20"
"241409006","227000599","405.000","7"
"241409006","227000336","394.000","21"
"241409006","227000335","250.000","6"
"241409006","227000333","306.000","17"
"241409006","227000332","210.000","10"
"241409006","227000331","240.000","19"
"241409006","227000330","340.000","8"
"241409006","227000238","230.000","26"
"241409006","227000218","210.000","18"
"241409006","227000188","0.000","1"
"241409006","227000185","430.000","5"
"241409006","227000184","430.000","23"
"241409006","227000183","320.000","4"
"241409006","227000179","168.000","2"
"241409006","227000178","360.000","25"
"241409006","227000176","190.000","22"
"241409006","227000081","270.000","9"
"241409006","227000076","350.000","24"
"241409006","227000067","400.000","3"
"241409006","124000354","540.000","14"
"241409006","124000138","1079.000","13"
"241409006","124000087","1702.000","12"
"241409006","123000145","1281.000","15"
"241409005","227000635","128.000","2"
"241409005","227000629","423.000","13"
"241409005","227000628","350.000","20"
"241409005","227000627","241.000","28"
"241409005","227000626","425.000","21"
"241409005","227000625","248.000","12"
"241409005","227000614","199.000","24"
"241409005","227000614","199.000","9"
"241409005","227000613","207.000","25"
"241409005","227000613","207.000","10"
"241409005","227000612","154.000","23"
"241409005","227000612","154.000","8"
"241409005","227000611","153.000","26"
"241409005","227000611","153.000","11"
"241409005","227000610","256.000","22"
"241409005","227000610","380.000","7"
"241409005","227000609","113.000","6"
"241409005","227000608","375.000","27"
"241409005","227000607","135.000","5"
